direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_type
LONG,2024-05-16 17:50:00,2024-05-17 14:55:00,64948.0,66571.7,2.5,TP
LONG,2024-05-17 15:20:00,2024-05-19 19:45:00,67006.0,66000.91,-1.5,SL
LONG,2024-05-20 20:05:00,2024-05-21 00:15:00,69822.9,71568.47249999999,2.5,TP
LONG,2024-05-24 16:00:00,2024-05-27 15:15:00,68292.2,69999.50499999999,2.5,TP
LONG,2024-06-03 11:05:00,2024-06-04 16:15:00,69094.6,70821.965,2.5,TP
LONG,2024-06-04 20:00:00,2024-06-07 18:00:00,70317.1,69262.3435,-1.5,SL
SHORT,2024-06-11 03:00:00,2024-06-11 15:40:00,68305.1,66597.4725,2.5,TP
SHORT,2024-06-11 15:45:00,2024-06-11 19:45:00,66342.8,67337.942,-1.5,SL
SHORT,2024-06-11 20:20:00,2024-06-12 12:30:00,67325.8,68335.68699999999,-1.5,SL
SHORT,2024-06-12 16:00:00,2024-06-12 19:45:00,69737.4,67993.965,2.5,TP
SHORT,2024-06-12 20:10:00,2024-06-14 16:05:00,67776.4,66081.98999999999,2.5,TP
SHORT,2024-06-17 00:00:00,2024-06-18 01:40:00,66605.9,64940.752499999995,2.5,TP
SHORT,2024-06-18 02:00:00,2024-06-20 10:55:00,64997.8,65972.76699999999,-1.5,SL
SHORT,2024-06-20 12:00:00,2024-06-21 04:00:00,66114.1,64461.247500000005,2.5,TP
SHORT,2024-06-21 08:00:00,2024-06-24 04:10:00,64280.1,62673.097499999996,2.5,TP
SHORT,2024-06-24 08:50:00,2024-06-24 09:40:00,62639.1,61073.1225,2.5,TP
SHORT,2024-06-24 10:05:00,2024-06-24 17:20:00,61541.7,60003.157499999994,2.5,TP
SHORT,2024-06-26 04:00:00,2024-06-28 19:15:00,61964.8,60415.68,2.5,TP
SHORT,2024-06-28 21:00:00,2024-06-29 11:35:00,60249.3,61153.0395,-1.5,SL
SHORT,2024-07-03 02:00:00,2024-07-03 10:30:00,61500.0,59962.5,2.5,TP
SHORT,2024-07-03 14:00:00,2024-07-04 01:50:00,60497.3,58984.8675,2.5,TP
SHORT,2024-07-04 02:25:00,2024-07-04 08:50:00,58957.3,57483.3675,2.5,TP
SHORT,2024-07-04 08:55:00,2024-07-04 19:30:00,57674.1,58539.21149999999,-1.5,SL
SHORT,2024-07-04 19:40:00,2024-07-05 00:00:00,58362.3,56903.2425,2.5,TP
SHORT,2024-07-08 00:15:00,2024-07-08 08:20:00,55727.2,56563.10799999999,-1.5,SL
SHORT,2024-07-08 12:00:00,2024-07-08 14:25:00,57107.9,55680.2025,2.5,TP
SHORT,2024-07-08 14:45:00,2024-07-09 02:45:00,56215.1,57058.326499999996,-1.5,SL
LONG,2024-07-14 00:00:00,2024-07-14 21:20:00,59299.9,60782.3975,2.5,TP
LONG,2024-07-14 21:30:00,2024-07-15 02:30:00,60763.1,62282.17749999999,2.5,TP
LONG,2024-07-15 03:00:00,2024-07-15 22:10:00,62377.2,63936.62999999999,2.5,TP
LONG,2024-07-19 16:00:00,2024-07-21 20:15:00,66011.7,67661.9925,2.5,TP
LONG,2024-07-26 00:00:00,2024-07-26 13:35:00,65799.9,67444.89749999999,2.5,TP
LONG,2024-07-26 14:40:00,2024-07-27 13:10:00,67132.1,68810.4025,2.5,TP
LONG,2024-07-27 13:50:00,2024-07-27 19:40:00,69196.0,68158.06,-1.5,SL
LONG,2024-07-27 19:55:00,2024-07-27 20:20:00,68209.2,67186.06199999999,-1.5,SL
LONG,2024-07-27 20:50:00,2024-07-29 13:00:00,68102.3,69804.8575,2.5,TP
SHORT,2024-07-31 00:00:00,2024-08-01 01:20:00,66069.2,64417.469999999994,2.5,TP
SHORT,2024-08-01 05:30:00,2024-08-01 17:40:00,64103.2,62500.619999999995,2.5,TP
SHORT,2024-08-01 19:30:00,2024-08-01 20:40:00,63230.2,64178.65299999999,-1.5,SL
SHORT,2024-08-01 23:05:00,2024-08-02 14:55:00,65078.5,63451.5375,2.5,TP
SHORT,2024-08-02 15:35:00,2024-08-02 22:45:00,63195.2,61615.31999999999,2.5,TP
SHORT,2024-08-03 01:10:00,2024-08-03 03:30:00,60801.7,61713.72549999999,-1.5,SL
SHORT,2024-08-03 04:15:00,2024-08-03 19:00:00,61739.1,60195.6225,2.5,TP
SHORT,2024-08-03 23:30:00,2024-08-04 15:50:00,60652.3,59135.9925,2.5,TP
SHORT,2024-08-11 12:00:00,2024-08-11 20:05:00,60560.7,59046.682499999995,2.5,TP
SHORT,2024-08-12 00:00:00,2024-08-12 11:30:00,58738.1,59619.17149999999,-1.5,SL
SHORT,2024-08-12 12:15:00,2024-08-13 16:40:00,59554.2,60447.51299999999,-1.5,SL
SHORT,2024-08-14 12:00:00,2024-08-14 13:55:00,61235.4,59704.515,2.5,TP
SHORT,2024-08-14 14:45:00,2024-08-15 07:25:00,59339.9,57856.4025,2.5,TP
SHORT,2024-08-15 08:45:00,2024-08-15 12:35:00,58225.2,59098.577999999994,-1.5,SL
SHORT,2024-08-15 16:05:00,2024-08-15 18:10:00,59670.0,58178.25,2.5,TP
SHORT,2024-08-15 19:45:00,2024-08-16 02:30:00,57109.6,57966.24399999999,-1.5,SL
SHORT,2024-08-16 03:20:00,2024-08-16 17:55:00,58027.8,58898.217,-1.5,SL
SHORT,2024-08-18 20:00:00,2024-08-19 09:45:00,59668.0,58176.299999999996,2.5,TP
SHORT,2024-08-19 10:05:00,2024-08-19 13:15:00,57921.6,58790.42399999999,-1.5,SL
SHORT,2024-08-19 13:35:00,2024-08-19 23:50:00,58572.6,59451.18899999999,-1.5,SL
SHORT,2024-08-20 12:00:00,2024-08-20 15:05:00,60565.5,59051.362499999996,2.5,TP
SHORT,2024-08-20 15:35:00,2024-08-21 14:05:00,59072.2,59958.28299999999,-1.5,SL
LONG,2024-08-21 21:00:00,2024-08-22 02:50:00,61046.8,60131.098000000005,-1.5,SL
LONG,2024-08-22 03:20:00,2024-08-23 14:10:00,60336.6,61845.01499999999,2.5,TP
LONG,2024-08-23 15:00:00,2024-08-23 17:45:00,61174.9,62704.2725,2.5,TP
LONG,2024-08-23 18:50:00,2024-08-27 10:20:00,63274.4,62325.284,-1.5,SL
SHORT,2024-08-27 00:00:00,2024-08-27 21:35:00,62795.9,61226.0025,2.5,TP
SHORT,2024-08-27 22:50:00,2024-08-29 11:45:00,59357.0,60247.354999999996,-1.5,SL
SHORT,2024-08-29 11:55:00,2024-08-29 15:05:00,60040.0,60940.59999999999,-1.5,SL
SHORT,2024-08-29 15:40:00,2024-08-29 18:35:00,60861.4,59339.865,2.5,TP
SHORT,2024-08-29 19:05:00,2024-09-01 14:10:00,59250.5,57769.237499999996,2.5,TP
SHORT,2024-09-03 12:00:00,2024-09-03 14:50:00,59080.1,57603.097499999996,2.5,TP
SHORT,2024-09-04 01:35:00,2024-09-04 15:00:00,56652.9,57502.693499999994,-1.5,SL
SHORT,2024-09-04 20:10:00,2024-09-05 12:20:00,57969.7,56520.4575,2.5,TP
SHORT,2024-09-05 13:40:00,2024-09-06 07:20:00,56881.0,55458.975,2.5,TP
SHORT,2024-09-06 07:40:00,2024-09-06 12:35:00,55667.9,56502.91849999999,-1.5,SL
SHORT,2024-09-06 13:30:00,2024-09-06 14:10:00,56645.6,55229.46,2.5,TP
SHORT,2024-09-06 15:30:00,2024-09-06 20:50:00,54304.2,52946.594999999994,2.5,TP
SHORT,2024-09-06 20:55:00,2024-09-06 21:45:00,52868.9,53661.9335,-1.5,SL
SHORT,2024-09-07 00:15:00,2024-09-07 15:20:00,53870.0,54678.049999999996,-1.5,SL
LONG,2024-09-13 19:00:00,2024-09-15 23:05:00,59849.9,58952.1515,-1.5,SL
LONG,2024-09-17 12:00:00,2024-09-17 15:00:00,59116.8,60594.72,2.5,TP
LONG,2024-09-17 15:40:00,2024-09-17 19:45:00,60911.1,59997.4335,-1.5,SL
LONG,2024-09-17 20:15:00,2024-09-18 16:00:00,60097.7,59196.2345,-1.5,SL
LONG,2024-09-19 01:00:00,2024-09-19 16:50:00,62013.8,63564.145,2.5,TP
LONG,2024-09-19 19:35:00,2024-09-20 18:05:00,63400.1,62449.0985,-1.5,SL
LONG,2024-09-20 20:00:00,2024-09-23 03:15:00,62806.9,64377.072499999995,2.5,TP
LONG,2024-09-25 04:00:00,2024-09-25 17:05:00,64358.8,63393.418000000005,-1.5,SL
LONG,2024-09-26 17:00:00,2024-09-30 02:10:00,65587.9,64604.08149999999,-1.5,SL
SHORT,2024-10-01 00:00:00,2024-10-01 17:15:00,63315.2,61732.31999999999,2.5,TP
SHORT,2024-10-01 17:30:00,2024-10-02 19:40:00,61703.0,60160.424999999996,2.5,TP
SHORT,2024-10-09 14:00:00,2024-10-10 17:05:00,61806.2,60261.045,2.5,TP
SHORT,2024-10-10 18:30:00,2024-10-10 22:40:00,59300.0,60189.49999999999,-1.5,SL
SHORT,2024-10-10 22:55:00,2024-10-11 09:50:00,60120.8,61022.611999999994,-1.5,SL
