ts,dir,entry,exit,type,pnl,month
2026-02-24 04:15:00,SHORT,64596.16,62979.67,TP,2.566685408164271,2026-02
2026-02-24 16:00:00,SHORT,63278.36,64244.76,SL,-1.5042471946350222,2026-02
2026-02-25 01:10:00,SHORT,63956.21,64931.11,SL,-1.5014374465491254,2026-02
2026-02-25 14:50:00,SHORT,65875.16,66865.79,SL,-1.481519922220298,2026-02
2026-02-28 06:35:00,SHORT,65491.33,63822.12,TP,2.6154098296954142,2026-02
2026-02-28 13:50:00,SHORT,63839.46,64799.99,SL,-1.482299611465987,2026-02
2026-02-28 18:35:00,SHORT,64749.02,65725.06,SL,-1.4850347797324193,2026-02
2026-02-28 19:50:00,SHORT,65670.12,66666.65,SL,-1.4947953736988429,2026-02
2026-03-01 20:30:00,SHORT,66967.55,65274.1,TP,2.594367444361545,2026-03
2026-03-03 02:20:00,LONG,69335.06,68259.62,SL,-1.5510767568384654,2026-03
2026-03-03 08:35:00,LONG,68590.73,67558.72,SL,-1.5045910722921274,2026-03
2026-03-04 15:50:00,LONG,71366.45,73172.19,TP,2.5302365467246846,2026-03
2026-03-05 07:50:00,LONG,72905.8,71805.83,SL,-1.508755133336448,2026-03
2026-03-05 16:05:00,LONG,72079.34,70952.19,SL,-1.5637629312366008,2026-03
2026-03-06 12:05:00,LONG,71171.63,70101.0,SL,-1.504293213461605,2026-03
2026-03-08 22:00:00,SHORT,68118.16,66376.0,TP,2.624683620585766,2026-03
2026-03-09 03:05:00,SHORT,66060.96,67055.89,SL,-1.4837324506467575,2026-03
2026-03-10 02:30:00,LONG,68256.29,69992.87,TP,2.5442050835168484,2026-03
2026-03-11 12:05:00,LONG,70052.63,69000.03,SL,-1.502584556782527,2026-03
2026-03-13 16:20:00,LONG,72399.99,71294.0,SL,-1.5276107082335288,2026-03
2026-03-13 22:00:00,LONG,71852.55,70753.46,SL,-1.5296464774040675,2026-03
2026-03-16 03:30:00,LONG,71476.42,73269.43,TP,2.508533583523054,2026-03
2026-03-17 00:10:00,LONG,73573.32,75422.0,TP,2.5127043335817723,2026-03
2026-03-19 07:20:00,SHORT,71265.77,69479.79,TP,2.570502875728331,2026-03
2026-03-20 08:05:00,SHORT,69967.74,71024.96,SL,-1.4885189657269815,2026-03
2026-03-22 21:15:00,SHORT,69148.0,67419.08,TP,2.564437248327911,2026-03
2026-03-23 05:00:00,SHORT,67670.95,68700.0,SL,-1.4978893740902555,2026-03
2026-03-23 11:05:00,LONG,68438.28,70154.25,TP,2.507324848023651,2026-03
2026-03-24 17:30:00,LONG,70122.15,69069.7,SL,-1.5008809627200526,2026-03
2026-03-27 09:10:00,SHORT,69333.77,67568.36,TP,2.6127761573612407,2026-03
2026-03-29 22:45:00,SHORT,66694.01,65008.01,TP,2.5935265515741657,2026-03
2026-04-04 15:10:00,SHORT,66434.88,67537.79,SL,-1.6330264878373857,2026-04
2026-04-05 23:30:00,LONG,67298.87,69027.79,TP,2.5690178750400916,2026-04
2026-04-07 14:05:00,LONG,68943.08,67906.26,SL,-1.503878271756942,2026-04
2026-04-08 14:50:00,LONG,71978.29,70892.55,SL,-1.5084270548800127,2026-04
2026-04-09 22:15:00,LONG,71106.03,72917.23,TP,2.5471820041141235,2026-04
2026-04-13 22:10:00,LONG,71801.81,73649.7,TP,2.573598075034589,2026-04
2026-04-14 14:30:00,LONG,74109.27,75966.0,TP,2.505395074057537,2026-04
2026-04-14 17:30:00,LONG,75639.99,74489.44,SL,-1.5210869276952588,2026-04
2026-04-15 07:45:00,LONG,74665.68,73525.95,SL,-1.5264442780136722,2026-04
2026-04-18 11:05:00,LONG,77168.68,76010.16,SL,-1.501282644720614,2026-04
2026-04-19 07:20:00,LONG,76039.05,74884.78,SL,-1.5179963452988998,2026-04
2026-04-21 17:15:00,LONG,76416.0,75257.01,SL,-1.516684987437189,2026-04
2026-04-27 15:20:00,LONG,77997.86,76812.29,SL,-1.5200032411145759,2026-04
2026-04-29 13:45:00,LONG,77673.19,76505.01,SL,-1.5039681001900451,2026-04
2026-05-03 20:35:00,LONG,77320.96,79267.99,TP,2.5181141051533684,2026-05
2026-05-04 17:50:00,LONG,78768.8,80749.64,TP,2.5147520338001828,2026-05
2026-05-06 09:35:00,LONG,79998.06,82000.0,TP,2.5024856852778665,2026-05
2026-05-07 04:05:00,LONG,82038.01,80800.02,SL,-1.5090444051482854,2026-05
2026-05-13 14:00:00,LONG,80715.33,79500.01,SL,-1.5056867140356145,2026-05
2026-05-14 16:00:00,LONG,79370.89,81449.0,TP,2.6182269091350685,2026-05
2026-05-15 13:25:00,LONG,81244.46,80023.92,SL,-1.5023055110465422,2026-05
2026-05-17 23:40:00,SHORT,79198.99,77211.45,TP,2.5741518906846172,2026-05
2026-05-22 12:30:00,SHORT,77327.7,77432.23,EOD,-0.1349954663581232,2026-05
