d,ets,ep,xts,xp,xt,pnl
SHORT,2026-02-27 18:55:00,65237.44,2026-02-28 06:37:20,63606.4,TP,2.340159417659554
SHORT,2026-02-28 07:40:00,64208.75,2026-02-28 13:59:16,65182.04,SL,-1.67582144178169
SHORT,2026-02-28 14:55:00,64432.82,2026-02-28 17:58:41,65453.51,SL,-1.7441150519254043
SHORT,2026-02-28 18:25:00,65204.2,2026-02-28 19:32:01,66200.0,SL,-1.6872022354388259
LONG,2026-03-02 22:15:00,69234.97,2026-03-03 04:40:29,68195.01,SL,-1.6620733019744305
LONG,2026-03-04 11:55:00,71175.59,2026-03-04 15:29:48,72962.95,TP,2.351198010441502
LONG,2026-03-04 15:37:22,72667.1,2026-03-05 15:18:20,71565.0,SL,-1.6766423319494046
LONG,2026-03-05 17:10:00,71026.0,2026-03-06 12:07:54,69956.45,SL,-1.6658570101089782
SHORT,2026-03-07 00:00:00,68114.01,2026-03-08 22:03:11,66376.0,TP,2.3916189694308043
SHORT,2026-03-08 22:03:12,66397.29,2026-03-09 03:11:30,67409.09,SL,-1.6838573742994676
LONG,2026-03-09 11:55:00,67789.15,2026-03-09 19:30:13,69494.64,TP,2.3558745905502656
LONG,2026-03-09 19:30:56,69258.01,2026-03-10 08:34:36,71008.42,TP,2.3673755338913196
LONG,2026-03-10 09:00:00,70709.37,2026-03-10 14:01:14,69634.61,SL,-1.6799682870883939
LONG,2026-03-10 14:05:04,70048.95,2026-03-11 12:08:26,68995.91,SL,-1.6632916267838327
LONG,2026-03-13 11:00:00,72458.12,2026-03-13 16:19:39,71370.28,SL,-1.6613362201503388
LONG,2026-03-13 16:55:00,72043.58,2026-03-13 17:57:47,70924.09,SL,-1.7139066770418754
LONG,2026-03-15 08:15:00,71594.54,2026-03-16 03:33:10,73393.83,TP,2.353166506831398
LONG,2026-03-16 03:33:18,73362.0,2026-03-17 00:10:34,75217.03,TP,2.3685979117254146
SHORT,2026-03-19 00:05:00,71265.78,2026-03-19 07:23:57,69479.79,TP,2.3460975969111755
SHORT,2026-03-19 07:25:56,69848.1,2026-03-20 04:07:56,70929.99,SL,-1.7089182955585038
SHORT,2026-03-22 06:05:00,69147.99,2026-03-22 21:19:49,67419.08,TP,2.3403040580066077
SHORT,2026-03-22 21:20:46,67470.0,2026-03-23 03:01:29,68483.59,SL,-1.6622824959241091
LONG,2026-03-23 07:55:00,68425.39,2026-03-23 11:06:03,70154.25,TP,2.366635215378386
LONG,2026-03-23 11:50:20,70283.52,2026-03-24 17:05:01,69194.5,SL,-1.7094670727931724
SHORT,2026-03-26 12:05:00,69333.77,2026-03-27 09:11:19,67568.36,TP,2.386248386608724
SHORT,2026-03-27 10:40:22,67019.53,2026-03-29 22:45:13,65319.0,TP,2.3773648546923543
SHORT,2026-04-02 11:15:00,66288.24,2026-04-02 17:16:16,67304.21,SL,-1.6926549626298737
LONG,2026-04-05 00:30:00,67264.42,2026-04-05 23:20:24,68949.98,TP,2.345871603442054
LONG,2026-04-06 01:05:00,68922.71,2026-04-07 14:06:54,67881.37,SL,-1.6708808112739777
LONG,2026-04-07 23:06:24,71194.91,2026-04-09 22:17:17,72981.73,TP,2.3497580711879436
LONG,2026-04-13 16:35:00,72212.36,2026-04-13 22:16:48,74149.99,TP,2.523238714258895
LONG,2026-04-13 22:20:40,74041.91,2026-04-14 14:30:51,75911.49,TP,2.3650294056433734
LONG,2026-04-14 14:33:16,75867.9,2026-04-14 15:09:00,74720.1,SL,-1.6728928044666957
LONG,2026-04-14 17:43:40,74573.11,2026-04-16 13:54:52,73429.01,SL,-1.6941991235178548
LONG,2026-04-17 13:56:08,77190.0,2026-04-18 11:06:28,76029.46,SL,-1.6634849073714126
LONG,2026-04-18 18:09:10,75833.28,2026-04-19 17:52:46,74679.01,SL,-1.6821153562130031
LONG,2026-04-20 17:55:00,75887.56,2026-04-22 05:16:43,77835.87,TP,2.407364137152384
LONG,2026-04-22 07:25:00,77882.03,2026-04-27 15:22:12,76666.0,SL,-1.721374299052039
LONG,2026-04-29 09:55:00,77732.68,2026-04-29 13:44:57,76565.15,SL,-1.661980891434592
LONG,2026-05-01 09:40:00,77275.23,2026-05-03 20:36:31,79213.08,TP,2.3477246615765566
LONG,2026-05-03 20:36:32,79267.99,2026-05-05 05:39:26,81267.99,TP,2.3630865573859
LONG,2026-05-05 05:40:00,81234.01,2026-05-07 15:18:38,79969.05,SL,-1.717180299236726
LONG,2026-05-10 07:55:00,80746.25,2026-05-13 14:00:58,79533.65,SL,-1.6617415669458406
LONG,2026-05-14 12:05:00,79370.89,2026-05-14 16:00:08,81449.0,TP,2.4582269091350755
LONG,2026-05-14 16:00:08,81449.0,2026-05-15 13:01:29,80226.95,SL,-1.6603867450797467
SHORT,2026-05-15 16:30:00,79316.71,2026-05-17 23:40:30,77304.15,TP,2.377372011521925
SHORT,2026-05-17 23:55:00,77460.01,2026-05-22 12:32:40,77413.35,EOD,-0.0997624658194739
