entry_ts,exit_ts,dir,entry,exit,type,pnl,month
2025-10-31 02:15:00,2025-10-31 14:55:04,SHORT,109068.97,110715.01,SL,-1.4867360803200835,2025-10
2025-11-04 00:14:32,2025-11-04 09:56:01,SHORT,106320.0,103650.01,TP,2.5759669487730896,2025-11
2025-11-04 10:05:00,2025-11-04 17:16:56,SHORT,103739.99,101129.59,TP,2.5812425423656915,2025-11
2025-11-04 17:22:22,2025-11-04 21:35:58,SHORT,101500.0,98962.15,TP,2.564465303148733,2025-11
2025-11-04 21:40:00,2025-11-04 22:07:51,SHORT,99284.68,100776.8,SL,-1.4806185550642725,2025-11
2025-11-04 22:10:00,2025-11-05 12:25:18,SHORT,100995.39,102530.05,SL,-1.4967904531403287,2025-11
2025-11-11 19:05:00,2025-11-12 09:11:20,SHORT,103202.61,104782.98,SL,-1.5082315849386907,2025-11
2025-11-12 11:27:06,2025-11-12 15:52:50,SHORT,104924.77,102288.02,TP,2.577770104456034,2025-11
2025-11-12 17:40:10,2025-11-13 06:24:43,SHORT,102080.0,103621.25,SL,-1.487387963376241,2025-11
2025-11-13 07:45:00,2025-11-13 16:18:34,SHORT,103536.0,100947.07,TP,2.5646410539701625,2025-11
2025-11-13 17:00:00,2025-11-13 20:06:24,SHORT,100633.12,98101.0,TP,2.5811357682388403,2025-11
2025-11-13 20:10:00,2025-11-13 23:12:36,SHORT,98493.57,99973.6,SL,-1.480420831099405,2025-11
2025-11-13 23:51:56,2025-11-14 04:38:10,SHORT,100070.0,97414.71,TP,2.7257587688758633,2025-11
2025-11-14 04:45:14,2025-11-14 12:34:32,SHORT,97740.36,95289.01,TP,2.5725422060739245,2025-11
2025-11-14 12:35:00,2025-11-14 14:49:14,SHORT,95276.0,96712.2,SL,-1.4850246401177936,2025-11
2025-11-14 15:05:06,2025-11-16 21:07:30,SHORT,96039.3,93606.48,TP,2.598986736815667,2025-11
2025-11-16 21:10:00,2025-11-17 00:55:11,SHORT,93766.35,95188.71,SL,-1.4942528373375397,2025-11
2025-11-17 22:15:00,2025-11-18 03:30:54,SHORT,92114.59,89800.01,TP,2.5774830091889855,2025-11
